;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
11;-0.2193;-0.0461;0.078;28;25.27147937186;0.0141;64.50003884098;0.0164;513006737978429440;0.4039;0.0209;-3.416;0.017;0.032;0.022;1.026;15.058073;0.002764;15.655726;0.00325;14.302337;0.002901;1.35339;;;1.263;4958.04;651.273;1366.49;0.97;1.6841879915201192;0.0329064650789638;1.5801860646710084;0.042673477552600286
12;-0.2165;-0.0488;0.0779;27;25.29359098798;0.0096;64.53043540987;0.0117;513008249806886528;0.4421;0.0148;-3.293;0.012;-0.115;0.015;1.103;12.921792;0.002759;13.891994;0.00285;11.953075;0.002818;1.938919;-49.45;0.97;1.324;7276.903;1872.039;2761.895;0.8;2.414413962486347;0.08959431749286326;0.25838381657221876;0.5424737037162571
13;-0.1798;-0.0679;0.0464;28;25.18833181618;0.0309;64.50877417096;0.0363;513007425173188992;0.3737;0.0446;-3.336;0.036;0.162;0.047;1.001;16.655245;0.002799;17.270023;0.004947;15.894041;0.003649;1.375982;;;1.26;2198.131;265.819;461.786;0.99;1.3263385287664535;0.015869657547416642;0.8858739383955383;0.06482764555312243
14;-0.214;-0.0908;0.1053;28;25.2181010829;0.023;64.49562399341;0.0269;513006669258956032;0.3715;0.0331;-3.277;0.027;0.061;0.036;0.977;16.054441;0.002783;16.573942;0.003983;15.359412;0.003013;1.21453;;;1.248;2786.144;381.945;955.159;1.0;1.5309991108383252;0.009892324557248247;0.8630711539922961;0.09115317475244467
15;-0.1159;-0.0532;-0.0163;27;25.24580758486;0.0599;64.54717033758;0.0714;513009074440593024;0.2412;0.0842;-3.089;0.072;-0.103;0.098;1.005;17.84392;0.002907;18.514437;0.010821;17.06365;0.00812;1.450787;;;1.255;1173.209;103.851;142.378;0.89;1.0811786622548225;0.0022254073404607035;0.0;0.07905420257513657
16;-0.117;-0.099;0.0084;27;25.20541013768;0.0788;64.49827848245;0.0921;513006664956116864;0.4242;0.1109;-3.257;0.089;-0.056;0.125;1.051;18.22529;0.003007;18.91641;0.025133;17.429205;0.009618;1.487206;;;1.26;902.205;43.469;117.952;0.98;1.0048564202694803;0.0027372790430080876;0.0;0.06780628681549832
17;-0.2294;-0.0464;0.076;28;25.2581465234;0.0375;64.54728103829;0.0447;513008417302904064;0.2628;0.0542;-3.147;0.045;-0.079;0.06;0.986;17.034636;0.002824;17.598925;0.006593;16.324465;0.004105;1.27446;;;1.241;1754.61;181.754;360.587;0.96;1.26911531476451;0.0020264980369181953;0.0;0.0278550063281846
18;-0.1961;-0.0535;0.0108;27;25.21883235927;0.0151;64.54660536447;0.0184;513009074440594688;0.4066;0.0224;-3.312;0.018;0.289;0.024;0.963;15.187813;0.002766;15.549292;0.003224;14.642439;0.002975;0.906853;;;1.215;4426.947;672.334;1052.387;0.92;1.8712378775037835;0.0017219379451219937;0.0;0.02747099872537502
19;-0.1919;-0.0152;-0.0625;27;25.30354689378;0.0641;64.53116622257;0.0776;513008348583387648;0.1136;0.0942;-3.283;0.078;0.129;0.112;0.978;17.990356;0.002928;18.668613;0.01342;17.197035;0.007615;1.471579;;;1.262;1095.132;82.71;153.231;0.88;1.0514194025282229;0.002194437580172978;0.0;0.09807216423924442
20;-0.2282;-0.0523;0.0454;28;25.3099778994;0.0357;64.5207923413;0.0407;513008039345713792;0.3926;0.0516;-3.282;0.041;0.089;0.054;1.036;16.897676;0.002816;17.489811;0.008141;16.14772;0.004331;1.342091;;;1.26;1874.886;141.961;327.713;1.0;1.303260258797274;0.0019314940095066602;0.0;0.13562612231080828
21;-0.2285;-0.0875;0.043;28;25.2112479521;0.0387;64.5474025056;0.0451;513009040080855424;0.3646;0.0563;-3.264;0.046;0.338;0.06;0.998;17.040443;0.002839;17.710575;0.008122;16.242214;0.004232;1.468361;;;1.269;1586.284;142.345;341.288;0.87;1.1865920871405304;0.034850266512387075;0.9437244511139355;0.07566813445612183
22;-0.2278;-0.0093;0.0966;28;25.25484428869;0.0351;64.49052682811;0.0406;513006703618698880;0.3752;0.051;-3.289;0.041;0.103;0.054;0.936;16.926468;0.002813;17.537323;0.006749;16.175303;0.003684;1.36202;;;1.254;1910.696;176.68;451.271;1.0;1.2940145042094726;0.002970478830726215;0.0;0.19779772579837773
23;-0.2362;-0.056;0.0031;27;25.31735727711;0.0303;64.52505759774;0.0354;513008146727880320;0.3081;0.0442;-3.247;0.036;0.133;0.049;1.016;16.608974;0.002791;17.177811;0.005027;15.882216;0.00365;1.295594;;;1.252;2439.865;259.611;461.315;0.99;1.382135793373273;0.001589510580807528;0.0;0.11669861666034247
24;-0.1236;-0.0991;0.0237;27;25.22443582589;0.1035;64.48800783361;0.1212;513006669262014848;0.4375;0.1448;-3.378;0.12;0.144;0.163;1.07;18.625322;0.003183;19.317766;0.039802;17.777962;0.017241;1.539804;;;1.302;681.111;27.346;63.814;0.96;0.9324811176147321;0.003671030916398013;0.0;0.1161731147866784
25;-0.263;-0.0252;0.0141;28;25.31638092246;0.0178;64.50769600572;0.0212;513008043648671232;0.3662;0.0262;-3.235;0.021;0.076;0.028;0.972;15.549072;0.002768;16.081345;0.003523;14.848271;0.002927;1.233073;;;1.247;4048.998;504.6;1226.947;1.0;1.5173790525162332;0.026477186225612036;1.4275292389777205;0.032522994567095315
26;-0.2705;-0.0312;-0.0024;28;25.17271073365;0.0137;64.50207067859;0.0163;513007425173196288;0.3945;0.0197;-3.215;0.016;0.037;0.022;1.045;14.779263;0.002798;15.100589;0.003298;14.273889;0.003208;0.8267;;;1.21;2237.01;617.292;685.454;1.0;2.0149250429345966;0.0018721893917571428;0.0;0.0
27;-0.2243;-0.0253;0.0818;28;25.26703952234;0.0199;64.48351948522;0.0227;513006493157388288;0.354;0.0288;-3.262;0.023;0.049;0.029;1.06;15.754924;0.002778;16.296888;0.003859;15.045914;0.003455;1.250975;;;1.249;3059.64;407.384;532.636;1.0;1.500510456092384;0.026842559597593876;1.3025365918200538;0.03981371056208884
28;-0.2222;-0.0691;0.1163;28;25.17693246149;0.0283;64.49268017238;0.0319;513007390813465088;0.3739;0.0399;-3.239;0.032;0.064;0.041;1.023;16.281342;0.002882;16.840422;0.006226;15.522071;0.004611;1.318351;;;1.28;1286.329;195.091;295.747;1.0;1.416937539273714;0.01997449260785421;1.0282078181001508;0.057625953459519104
29;-0.1873;-0.0353;0.0702;28;25.16454195998;0.0197;64.49097523305;0.023;513007390813467264;0.3641;0.0289;-3.293;0.023;0.131;0.031;1.008;15.685818;0.00278;16.243958;0.003359;14.968472;0.003041;1.275486;;;1.249;2926.949;580.584;898.358;1.0;1.467156439559205;0.02153644632030196;1.3940217504204317;0.02607547173993268
30;-0.1712;-0.1124;0.014;28;25.15031752648;0.0691;64.49952172466;0.0844;513007455230100352;0.1166;0.0988;-3.179;0.08;-0.041;0.11;0.989;18.067139;0.002951;18.730619;0.015998;17.288929;0.006803;1.44169;;;1.256;1028.747;68.923;175.002;0.88;1.0366702865998605;0.0028294443563209024;0.0;0.0601573165973243
31;-0.1918;-0.0828;0.0716;27;25.19649672094;0.0334;64.4757436903;0.0375;513006634902280192;0.2985;0.0477;-3.184;0.038;-0.072;0.049;1.011;16.719818;0.002805;17.338993;0.005803;15.944211;0.004064;1.394782;;;1.27;2057.143;213.386;367.522;0.98;1.2984035779716765;0.02733687058104693;0.9143766978678439;0.08247353851909205
32;-0.2331;-0.0982;0.0658;28;25.35498508652;0.0431;64.53160471821;0.0518;513008108065222656;0.3994;0.0631;-3.267;0.052;0.082;0.071;0.973;17.286865;0.002838;17.851725;0.016089;16.465635;0.008561;1.386089;;;1.328;1599.63;68.52;134.153;0.99;1.2151352553979409;0.0020643967693409577;0.0;0.09226213126345122
33;-0.2669;0.0021;0.0495;27;25.34206031257;0.0316;64.48512999237;0.0347;513007940569283072;0.313;0.0454;-3.305;0.037;0.13;0.046;0.949;16.65641;0.002794;17.240587;0.004818;15.924065;0.0037;1.316523;;;1.25;2348.894;276.418;446.928;0.99;1.3668103704683832;0.003391214063012347;0.0;0.21036344468053353
34;-0.2066;-0.0429;0.0455;28;25.13876676928;0.0083;64.48345293521;0.0099;513007081575828736;0.3772;0.0123;-3.244;0.01;0.027;0.013;1.046;13.55539;0.002762;14.477488;0.00289;12.610142;0.002807;1.867346;;;1.316;5626.805;1441.755;3514.39;1.0;2.330998398058627;0.03157265056928722;0.0;0.35849228355336643
35;-0.2259;-0.0405;0.0286;28;25.26780355764;0.0396;64.57792878385;0.0477;513009585534086528;0.3759;0.0593;-3.347;0.047;0.174;0.064;0.997;17.161118;0.002829;17.773218;0.009868;16.395393;0.005134;1.377825;;;1.265;1687.423;114.709;251.9;0.99;1.2373878474917435;0.0018135122395859403;0.0;0.1223793093392936
36;-0.1487;-0.1395;0.033;27;25.12328801611;0.0592;64.48274997183;0.0715;513007047207063808;0.3315;0.0851;-3.289;0.07;-0.143;0.1;1.013;17.758667;0.002913;18.298286;0.033898;16.859201;0.015353;1.439085;;;1.405;1146.683;32.138;71.914;0.97;1.1164363419110055;0.003087995741877268;0.0;0.12236248030538367
37;-0.2226;-0.027;0.0012;28;25.25071618945;0.0341;64.58452005992;0.0415;513009589836637184;0.4548;0.0502;-3.226;0.04;0.104;0.053;1.002;16.840307;0.002813;17.426891;0.007273;16.098103;0.004241;1.328789;;;1.256;1913.964;161.652;339.888;0.98;1.3180952869817464;0.001560244404452042;0.0;0.12725269168470246
38;-0.22;-0.0764;0.0186;27;25.12952172125;0.0361;64.56403463071;0.0442;513007906209476608;0.4565;0.0544;-3.236;0.042;0.006;0.058;0.988;16.97703;0.002825;17.595816;0.006606;16.216827;0.003784;1.378988;;;1.258;1741.32;181.335;424.865;0.98;1.2798424560965014;0.005251284903478303;0.0;0.28622610569509943
39;-0.2007;-0.0306;0.0033;28;25.27249246115;0.0106;64.58741181969;0.013;513009589836634112;0.3681;0.016;-3.17;0.013;0.086;0.017;1.433;13.456105;0.002761;14.426828;0.002864;12.484712;0.002812;1.942117;-48.31;2.17;1.326;6180.981;1678.761;3079.702;0.99;2.319705046111857;0.02691554404259362;0.0;0.3162711115779917
40;-0.1864;-0.1727;0.0511;27;25.14165513544;0.0207;64.45933774319;0.0243;513006875417417344;0.3876;0.0306;-3.182;0.024;-0.004;0.034;0.988;15.798031;0.002773;16.40329;0.003522;15.039978;0.002952;1.363312;;;1.261;3479.459;505.31;1127.317;0.99;1.4226264936828878;0.014792190905690098;1.372836094436099;0.016454425524099644
41;-0.2442;-0.0122;0.0625;28;25.4150219536;0.0915;64.51252020087;0.1078;512996357034651520;0.341;0.1331;-3.561;0.111;0.29;0.145;0.997;18.582878;0.003068;19.356451;0.030476;17.750395;0.008455;1.606056;;;1.262;804.811;35.776;136.042;0.78;0.9351061144195068;0.004347410685285326;0.0;0.17276321300097228
42;-0.2293;-0.0025;-0.0255;28;25.16692405715;0.032;64.59114201746;0.0381;513009452397678592;0.3939;0.0473;-3.267;0.039;0.023;0.052;1.033;16.712614;0.002803;17.389355;0.005456;15.906753;0.004317;1.482602;;;1.273;2111.738;231.566;329.607;1.0;1.209804595684379;0.026451965461058366;1.112048211114079;0.037444996135308765
43;-0.3184;-0.1553;0.1333;27;25.2422835912;0.0343;64.43653669027;0.0391;513005947704495360;0.2442;0.0518;-3.229;0.04;-0.105;0.051;1.006;16.813833;0.002809;17.769972;0.006439;15.852622;0.003836;1.91735;;;1.321;1983.054;187.101;412.514;0.96;1.1695379827620849;0.022908409849483568;1.088945597973146;0.031728820830850345
44;-0.1913;-0.0728;0.0015;28;25.15706501048;0.0195;64.59667363824;0.0239;513009521117149824;0.3609;0.0293;-3.217;0.024;0.137;0.034;1.039;15.662445;0.002775;16.311317;0.0038;14.864729;0.003175;1.446589;;;1.277;3292.418;420.857;717.016;1.0;1.4582895925127202;0.014321714252803914;1.4139682520390622;0.01565441792720831
45;-0.2081;-0.1053;0.0964;27;25.0734070884;0.0147;64.47648182232;0.0176;513007150295310976;0.3453;0.0226;-3.284;0.017;0.049;0.023;1.002;15.067563;0.002768;15.516561;0.003475;14.433894;0.003009;1.082666;;;1.234;4049.442;524.191;963.256;1.0;1.8337807269749435;0.017189797125894912;1.2974970892360613;0.05466801395366742
46;-0.1837;-0.1073;0.0026;28;25.03143962866;0.0233;64.5395619564;0.0279;513010758067783168;0.4278;0.0346;-3.343;0.027;-0.037;0.038;0.968;16.000187;0.002781;16.615412;0.004462;15.229368;0.003217;1.386044;;;1.268;2900.64;311.767;677.906;0.98;1.372379365721919;0.019273370389824854;1.3095733380156676;0.022442158989690236
47;-0.1614;-0.0855;0.1439;27;25.02370934367;0.0345;64.49766038093;0.0417;513010169647505408;0.3666;0.0506;-3.35;0.041;0.009;0.059;1.044;16.718016;0.002811;17.550552;0.006589;15.7896;0.003921;1.760952;;;1.327;1945.155;181.9;394.22;0.99;1.1981830822009203;0.022434394234307306;1.1173973802310082;0.029425328295008324
48;-0.2311;-0.0252;0.0521;28;25.47911182813;0.0425;64.54126389416;0.0496;512996842373736576;0.3005;0.0616;-3.412;0.05;0.002;0.066;1.018;17.273468;0.002836;17.921789;0.006713;16.502985;0.004844;1.418804;;;1.255;1619.344;177.819;274.207;0.97;1.2070749765826378;0.004054151108105771;0.0;0.20751900205650448
49;-0.0957;-0.1211;-0.0886;27;24.98776745004;0.1083;64.54008608857;0.1318;513010547604648064;0.4383;0.1588;-3.273;0.127;0.128;0.183;1.058;18.706163;0.003141;19.634787;0.038295;17.7731;0.013359;1.861687;;;1.302;720.267;28.427;83.105;0.96;0.9056905608067527;0.006824951255544464;0.4629731250385996;0.21742457084276168
50;-0.3043;-0.0344;0.0873;26;25.44928553238;0.0088;64.45219112903;0.0104;512995845941402368;0.3782;0.0139;-3.242;0.01;0.038;0.014;0.959;13.810567;0.00276;14.675324;0.00296;12.894965;0.002841;1.780359;;;1.305;6633.931;1097.139;2027.617;1.0;2.324954253438476;0.006281877188669674;0.21506805505357784;0.46140153665401773
51;-0.2965;-0.0283;0.1084;28;25.51241749421;0.0193;64.52143434599;0.0228;512996533136109184;0.4118;0.0288;-3.251;0.023;0.084;0.03;1.013;15.738375;0.002782;16.247005;0.003604;15.053884;0.0031;1.193122;;;1.245;2810.504;476.066;803.07;1.0;1.5937680432477401;0.01411004784815705;1.1267881822677541;0.04323586537966935
